Country Name,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Botswana,43.3600006103516,52.0177803039551,53.2400016784668,56.0188140869141,57.9919204711914,59.952995300293,62.130001068115206,64.1750564575195,67.40000152587889,68.2292633056641,69.95973968505861,71.994758605957
Central African Republic,9.252875328063961,9.80000019073486,10.246647834777802,10.8688611984253,11.4691410064697,12.057396888732901,12.727029800415002,13.533816337585401,14.299541473388699,14.8423757553101,14.3000001907349,15.465084075927699
Canada,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Central Europe and the Baltics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.82783441267219,100.0,100.0,100.0,99.97964003333021
Switzerland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Channel Islands,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Chile,99.59365844726558,99.53839111328129,99.58819580078129,100.0,99.5999984741211,100.0,99.71484375,100.0,99.6999969482422,100.0,100.0,100.0
China,99.2089004516602,99.6999969482422,99.84872436523442,99.9619293212891,99.9964447021484,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Cote d'Ivoire,57.3151054382324,58.30146789550779,55.7999992370605,55.7999992370605,61.3625907897949,61.9000015258789,62.5999984741211,64.3000030517578,65.59999847412111,67.1473922729492,68.4595565795898,69.6791229248047
Cameroon,51.6441535949707,52.7595558166504,53.7000007629395,55.039154052734396,56.2078132629395,56.7999992370605,58.5955924987793,59.8087768554688,61.0308647155762,62.2000007629395,63.4898796081543,64.7213668823242
"Congo, Dem. Rep.",12.1150150299072,12.7440509796143,13.3884449005127,15.3999996185303,14.7332000732422,13.5,16.1482429504395,17.0418376922607,17.9165096282959,18.5682907104492,19.1000003814697,19.1000003814697
"Congo, Rep.",37.0999984741211,39.7886199951172,40.7216911315918,41.5999984741211,42.543972015380895,43.4321212768555,44.401649475097706,45.508327484130895,46.573947906494105,47.416675567627,48.407474517822294,49.5171012878418
Colombia,96.0572280883789,96.7889938354492,96.693603515625,97.0321731567383,97.7794189453125,97.7909393310547,98.18689727783199,98.4000015258789,98.5,98.5,99.75592041015629,100.0
Comoros,60.3732833862305,69.80770874023439,69.42580413818361,69.3000030517578,69.7684478759766,72.1627960205078,74.5719833374023,76.9930419921875,79.4230041503906,81.8589096069336,84.2977752685547,86.7371368408203
Cabo Verde,74.00318908691409,81.0999984741211,82.3562469482422,83.3587646484375,84.3393478393555,85.3079071044922,86.3578414916992,87.54492950439449,88.6909637451172,90.41175079345699,91.4000015258789,94.1617431640625
Costa Rica,99.4098052978516,98.99573516845699,99.2323455810547,99.5032958984375,99.5635147094727,99.3592910766602,99.4098052978516,99.5,99.5999984741211,99.6999969482422,99.7099990844727,99.9000015258789
Caribbean small states,92.1911863434161,93.40706039247591,93.3906480037973,94.4029957151005,94.8869223835886,94.80175087515292,95.66592873646731,96.69120817880709,97.29971146254559,97.68603013647991,98.221954027314,98.8189268976713
Cuba,97.3830947875977,97.55664825439449,97.7455673217773,97.9525527954102,98.1793670654297,98.4239883422852,98.6834564208984,98.9547882080078,99.2350311279297,99.52120971679692,99.8000030517578,100.0
Curacao,99.9549026489258,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Cayman Islands,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Cyprus,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Czech Republic,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
